================================================================================
Mask Color Analysis Report
================================================================================

For each mask file, unique non-zero pixel values are listed.
Columns: val=pixel_value, pixels=total_pixel_count, cc=connected_components,
        max=area_of_largest_CC, conc=max/total (1.0 means one big blob)

Visualizations saved to: visualizations/analysis/
Filename pattern: {mask_name}_val{value}.png

------------------------------------------------------------
Mask: Below_Eye_Wrinkles.jpg  (Category: Below_Eye_Wrinkles)
------------------------------------------------------------
    val     pixels     cc   max_area   conc
    105       1319   1319          1  0.001
     26       1264    817         49  0.039
     23       1227    786         49  0.040
    107       1154   1154          1  0.001
    108       1148   1139          2  0.002
    106       1103   1088          2  0.002
      7       1071   1071          1  0.001
     20       1069   1069          1  0.001
     15       1030   1028          2  0.002
     39        975    975          1  0.001
     96        945    945          1  0.001
      6        917    911          2  0.002
     18        912    910          2  0.002
    101        903    903          1  0.001
    102        860    856          2  0.002
      9        830    830          1  0.001
     57        781    781          1  0.001
     32        726    724          2  0.003
     42        717    713          2  0.003
     11        709    709          1  0.001
    103        702    702          1  0.001
    100        699    698          2  0.003
    109        699    690          2  0.003
     64        690    688          2  0.003
     16        657    657          1  0.002
     98        631    629          2  0.003
     79        618    618          1  0.002
     52        617    615          2  0.003
     68        600    600          1  0.002
     13        584    580          2  0.003
     25        577    575          2  0.003
     74        577    575          2  0.003
     72        561    561          1  0.002
     48        549    549          1  0.002
     84        533    531          2  0.004
     95        533    532          2  0.004
     91        529    396         22  0.042
     93        528    528          1  0.002
     29        520    520          1  0.002
     87        494    494          1  0.002
     90        488    488          1  0.002
     94        487    481          2  0.004
    110        486    473          2  0.004
     54        482    482          1  0.002
     82        478    476          2  0.004
     10        477    477          1  0.002
     81        465    459          2  0.004
     71        459    459          1  0.002
     45        455    455          1  0.002
     36        451    451          1  0.002
     92        449    447          2  0.004
     30        439    439          1  0.002
     28        431    431          1  0.002
     14        424    422          2  0.005
     12        418    414          3  0.007
     46        404    404          1  0.002
     17        388    388          1  0.003
     85        378    378          1  0.003
     60        375    369          2  0.005
     49        362    362          1  0.003
     61        354    354          1  0.003
     62        345    345          1  0.003
     83        339    339          1  0.003
     89        317    317          1  0.003
     35        301    301          1  0.003
     34        296    296          1  0.003
     51        296    296          1  0.003
     76        294    294          1  0.003
     80        291    291          1  0.003
     69        282    282          1  0.004
    171        242    207          3  0.012
     50        230    226          2  0.009
     22        227    227          1  0.004
     59        226    226          1  0.004
     99        226    226          1  0.004
     37        224    224          1  0.004
     67        199    199          1  0.005
    160        199     93         30  0.151
     73        198    198          1  0.005
     31        192    191          2  0.010
    169        188    181          2  0.011
     58        181    181          1  0.006
     97        180    180          1  0.006
     56        174    174          1  0.006
     41        173    173          1  0.006
     88        163    163          1  0.006
     47        161    161          1  0.006
    119        160    160          1  0.006
    111        156    155          2  0.013
     38        153    153          1  0.007
     66        153    153          1  0.007
    120        153    152          2  0.013
     77        152    152          1  0.007
     44        146    146          1  0.007
     86        145    145          1  0.007
    125        144    141          2  0.014
     43        126    126          1  0.008
     55        124    124          1  0.008
     65        120    120          1  0.008
     75        119    119          1  0.008
     63        118    118          1  0.008
    121        115    111          2  0.017
    153        109    109          1  0.009
    165        109    109          1  0.009
     40         87     87          1  0.011
    122         84     81          2  0.024
    118         81     78          2  0.025
    145         79     79          1  0.013
    123         78     78          1  0.013
    112         72     72          1  0.014
    167         69     69          1  0.014
    129         67     67          1  0.015
    126         66     66          1  0.015
     70         60     60          1  0.017
    162         60     60          1  0.017
     24         59     57          2  0.034
    135         59     59          1  0.017
    163         57     57          1  0.018
    138         56     56          1  0.018
    158         55     55          1  0.018
    170         53     53          1  0.019
     19         52     52          1  0.019
    130         51     51          1  0.020
    133         51     50          2  0.039
    132         50     50          1  0.020
    124         49     49          1  0.020
    142         49     49          1  0.020
    137         48     48          1  0.021
    150         47     47          1  0.021
    151         45     45          1  0.022
    168         45     45          1  0.022
    128         43     43          1  0.023
     78         42     42          1  0.024
     21         41     41          1  0.024
    155         40     40          1  0.025
    156         40     40          1  0.025
    146         39     39          1  0.026
    141         38     38          1  0.026
    154         36     36          1  0.028
     53         35     35          1  0.029
    148         35     35          1  0.029
     27         34     34          1  0.029
    127         34     25          6  0.176
    166         33     33          1  0.030
    147         29     29          1  0.034
    152         23     23          1  0.043
     33         21     21          1  0.048
    140         18     18          1  0.056
    113         17     16          2  0.118
    117         17     17          1  0.059
    144         17     17          1  0.059
    149         17     17          1  0.059
    134         16     16          1  0.062
    139         16     16          1  0.062
    143         16     16          1  0.062
    159         16     16          1  0.062
    164         16     16          1  0.062
    161         15     14          2  0.133
    131         13     13          1  0.077
    114          9      9          1  0.111
    157          9      9          1  0.111
    136          7      7          1  0.143
    172          1      1          1  1.000

------------------------------------------------------------
Mask: Uv_P_Face.jpg  (Category: Uv_P_Face)
------------------------------------------------------------
    val     pixels     cc   max_area   conc
    149     196530   1826       1183  0.006
    115      49455      2      29241  0.591
      4       2279   2215          6  0.003
      2       2000   1935          6  0.003
      8       1911   1902          3  0.002
      5       1909   1900          3  0.002
    104       1669   1486         10  0.006
    105       1357   1357          1  0.001
    108       1275   1261          2  0.002
    107       1223   1223          1  0.001
    106       1220   1212          2  0.002
     26       1217    839         52  0.043
     23       1193    802         52  0.044
     39       1179   1171          3  0.003
     96       1129   1122          3  0.003
     20       1119   1112          3  0.003
     15       1088   1081          3  0.003
      7       1085   1078          3  0.003
      6        977    970          3  0.003
     18        943    935          3  0.003
    102        914    907          2  0.002
    101        859    853          3  0.003
      9        801    792          3  0.004
     57        698    692          3  0.004
    109        691    686          2  0.003
     64        683    674          3  0.004
    103        681    675          3  0.004
     42        663    655          2  0.003
     91        656    492         31  0.047
     30        653    653          1  0.002
    100        652    644          3  0.005
     11        648    640          3  0.005
     32        636    628          3  0.005
     25        627    627          1  0.002
     95        608    608          1  0.002
     98        604    595          3  0.005
     93        593    593          1  0.002
     72        570    570          1  0.002
     10        565    565          1  0.002
     16        562    557          3  0.005
     48        556    550          3  0.005
     54        552    552          1  0.002
     82        539    535          2  0.004
     13        534    527          2  0.004
     79        527    522          3  0.006
     17        509    507          2  0.004
     52        503    493          3  0.006
     12        502    498          3  0.006
     74        502    495          3  0.006
     28        500    500          1  0.002
     71        498    492          3  0.006
     68        490    484          3  0.006
     85        489    489          1  0.002
     36        468    468          1  0.002
     62        466    466          1  0.002
     14        465    463          2  0.004
     81        447    437          3  0.007
     84        439    432          3  0.007
     94        438    431          3  0.007
    110        437    430          2  0.005
     83        433    433          1  0.002
     92        431    422          3  0.007
     45        426    420          3  0.007
     29        423    417          3  0.007
     87        420    414          3  0.007
     51        402    402          1  0.002
     46        390    390          1  0.003
     90        371    364          3  0.008
     80        367    367          1  0.003
     89        367    367          1  0.003
     34        364    364          1  0.003
     76        362    362          1  0.003
     69        347    347          1  0.003
     49        314    314          1  0.003
     22        313    313          1  0.003
     60        306    298          3  0.010
     37        305    305          1  0.003
     61        304    302          2  0.007
     67        293    293          1  0.003
     35        290    284          3  0.010
     99        285    285          1  0.004
     50        266    263          2  0.008
     59        255    255          1  0.004
     97        240    240          1  0.004
     41        239    239          1  0.004
     73        230    230          1  0.004
     56        212    212          1  0.005
     31        205    204          2  0.010
     47        205    205          1  0.005
     77        203    203          1  0.005
     58        196    196          1  0.005
     44        194    194          1  0.005
     66        188    188          1  0.005
     88        188    188          1  0.005
     43        181    181          1  0.006
     38        175    175          1  0.006
     55        174    174          1  0.006
     86        163    163          1  0.006
    111        158    158          1  0.006
     40        150    150          1  0.007
     65        150    150          1  0.007
     63        146    146          1  0.007
     75        141    141          1  0.007
    112         84     82          2  0.024
    148         81     70          4  0.049
    118         76     66          5  0.066
     70         70     70          1  0.014
    147         62     55          3  0.048
     78         59     59          1  0.017
    117         59     59          1  0.017
     24         49     48          2  0.041
    145         43     35          8  0.186
    119         37     32          5  0.135
     27         36     36          1  0.028
     19         35     35          1  0.029
    122         34     23          5  0.147
    144         32     31          2  0.062
     33         31     31          1  0.032
     53         31     31          1  0.032
    120         31     30          2  0.065
    123         30     28          2  0.067
    130         30     30          1  0.033
    136         28     26          3  0.107
    142         28     28          1  0.036
    121         26     26          1  0.038
    124         25     23          3  0.120
    126         25     25          1  0.040
    146         24     24          1  0.042
    138         23     23          1  0.043
     21         22     22          1  0.045
    127         22     20          3  0.136
    133         22     22          1  0.045
    141         20     20          1  0.050
    128         18     17          2  0.111
    129         18     18          1  0.056
    139         17     17          1  0.059
    131         16     16          1  0.062
    125         15     15          1  0.067
    132         15     15          1  0.067
    140         14     12          3  0.214
    143         13     13          1  0.077
    134         11     11          1  0.091
    137         11     11          1  0.091
    135         10     10          1  0.100
    113          7      7          1  0.143
    116          6      6          1  0.167
